0.03, 1, red, Entry
0.03, 2, blue, Entry
0.07, 1, red, Exit
0.07, 2, red, Entry
0.13, 2, red, Exit
0.13, 1, red, Entry
0.17, 1, red, Exit
0.17, 2, red, Entry
0.20, 2, red, Exit
0.20, 1, red, Entry
0.27, 1, red, Exit
0.27, 2, red, Entry
0.30, 2, red, Exit
0.30, 1, red, Entry
0.33, 1, red, Exit
0.33, 2, red, Entry
0.50, 2, red, Exit
0.50, 1, red, Entry
0.53, 1, red, Exit
0.53, 2, red, Entry
0.77, 2, red, Exit
0.77, 1, red, Entry
0.83, 1, red, Exit
0.83, 3, red, Entry
0.87, 2, blue, Exit
0.87, 4, blue, Entry
0.90, 3, red, Exit
0.90, 1, red, Entry
0.90, 4, blue, Exit
0.90, 2, blue, Entry
1.07, 1, red, Exit
1.07, 3, red, Entry
1.20, 3, red, Exit
1.20, 2, red, Entry
1.37, 2, red, Exit
1.37, 1, red, Entry
1.43, 1, red, Exit
1.43, 3, red, Entry
1.47, 3, red, Exit
1.47, 2, red, Entry
1.50, 2, red, Exit
1.50, 3, red, Entry
1.57, 3, red, Exit
1.57, 2, red, Entry
1.63, 2, red, Exit
1.63, 1, red, Entry
1.67, 1, red, Exit
1.67, 2, red, Entry
1.70, 2, red, Exit
1.70, 1, red, Entry
1.77, 1, red, Exit
1.77, 2, red, Entry
1.80, 2, red, Exit
1.80, 1, red, Entry
1.87, 1, red, Exit
1.87, 2, red, Entry
1.90, 2, red, Exit
1.90, 4, red, Entry
1.93, 4, red, Exit
1.93, 2, red, Entry
2.00, 2, red, Exit
2.00, 1, red, Entry
2.03, 1, red, Exit
2.03, 2, red, Entry
2.07, 2, red, Exit
2.07, 1, red, Entry
2.30, 2, blue, Exit
2.30, 4, blue, Entry
2.33, 1, red, Exit
2.33, 2, red, Entry
2.33, 4, blue, Exit
2.33, 2, blue, Entry
2.37, 2, blue, Exit
2.37, 4, blue, Entry
2.40, 2, red, Exit
2.40, 3, red, Entry
2.43, 3, red, Exit
2.43, 2, red, Entry
2.47, 2, red, Exit
2.47, 4, red, Entry
2.50, 4, red, Exit
2.50, 1, red, Entry
2.53, 1, red, Exit
2.53, 4, red, Entry
2.63, 4, red, Exit
2.63, 2, red, Entry
2.67, 2, red, Exit
2.67, 1, red, Entry
2.70, 1, red, Exit
2.70, 2, red, Entry
2.77, 2, red, Exit
2.77, 1, red, Entry
2.83, 1, red, Exit
2.83, 2, red, Entry
2.87, 2, red, Exit
2.87, 1, red, Entry
2.93, 1, red, Exit
2.93, 2, red, Entry
3.03, 4, blue, Exit
3.03, 2, blue, Entry
3.10, 2, red, Exit
3.10, 4, red, Entry
3.10, 2, blue, Exit
3.10, 4, blue, Entry
3.13, 4, red, Exit
3.13, 2, red, Entry
3.17, 2, red, Exit
3.17, 3, red, Entry
3.17, 4, blue, Exit
3.17, 2, blue, Entry
3.20, 3, red, Exit
3.20, 2, red, Entry
3.20, 2, blue, Exit
3.20, 4, blue, Entry
3.23, 2, red, Exit
3.23, 3, red, Entry
3.27, 3, red, Exit
3.27, 1, red, Entry
3.30, 4, blue, Exit
3.30, 2, blue, Entry
3.33, 1, red, Exit
3.33, 2, red, Entry
3.33, 2, blue, Exit
3.33, 4, blue, Entry
3.37, 2, red, Exit
3.37, 1, red, Entry
3.57, 1, red, Exit
3.57, 3, red, Entry
3.67, 3, red, Exit
3.67, 2, red, Entry
3.77, 2, red, Exit
3.77, 1, red, Entry
3.97, 1, red, Exit
3.97, 4, red, Entry
4.00, 4, red, Exit
4.00, 3, red, Entry
4.03, 3, red, Exit
4.03, 1, red, Entry
4.30, 1, red, Exit
4.30, 2, red, Entry
4.33, 2, red, Exit
4.33, 4, red, Entry
4.37, 4, red, Exit
4.37, 1, red, Entry
4.40, 1, red, Exit
4.40, 3, red, Entry
4.47, 3, red, Exit
4.47, 1, red, Entry
4.57, 4, blue, Exit
4.57, 2, blue, Entry
4.70, 1, red, Exit
4.70, 3, red, Entry
4.73, 3, red, Exit
4.73, 1, red, Entry
4.77, 1, red, Exit
4.77, 3, red, Entry
4.80, 3, red, Exit
4.80, 1, red, Entry
4.87, 2, blue, Exit
4.87, 4, blue, Entry
4.90, 4, blue, Exit
4.90, 2, blue, Entry
4.93, 1, red, Exit
4.93, 3, red, Entry
4.93, 2, blue, Exit
4.93, 4, blue, Entry
5.00, 4, blue, Exit
5.00, 2, blue, Entry
5.07, 3, red, Exit
5.07, 1, red, Entry
5.07, 2, blue, Exit
5.07, 4, blue, Entry
5.13, 4, blue, Exit
5.13, 2, blue, Entry
5.17, 2, blue, Exit
5.17, 4, blue, Entry
5.53, 1, red, Exit
5.53, 3, red, Entry
5.60, 3, red, Exit
5.60, 4, red, Entry
5.67, 4, red, Exit
5.67, 3, red, Entry
5.70, 3, red, Exit
5.70, 2, red, Entry
5.73, 2, red, Exit
5.73, 4, red, Entry
5.80, 4, red, Exit
5.80, 1, red, Entry
5.83, 1, red, Exit
5.83, 4, red, Entry
5.87, 4, red, Exit
5.87, 1, red, Entry
6.00, 4, blue, Exit
6.00, 2, blue, Entry
6.07, 2, blue, Exit
6.07, 4, blue, Entry
6.10, 1, red, Exit
6.10, 3, red, Entry
6.13, 4, blue, Exit
6.13, 2, blue, Entry
6.17, 3, red, Exit
6.17, 1, red, Entry
6.20, 2, blue, Exit
6.20, 4, blue, Entry
6.23, 1, red, Exit
6.23, 3, red, Entry
6.27, 3, red, Exit
6.27, 1, red, Entry
6.27, 4, blue, Exit
6.27, 2, blue, Entry
6.30, 1, red, Exit
6.30, 3, red, Entry
6.30, 2, blue, Exit
6.30, 4, blue, Entry
6.33, 3, red, Exit
6.33, 1, red, Entry
6.37, 4, blue, Exit
6.37, 2, blue, Entry
6.43, 2, blue, Exit
6.43, 4, blue, Entry
6.47, 1, red, Exit
6.47, 3, red, Entry
6.50, 3, red, Exit
6.50, 1, red, Entry
6.70, 1, red, Exit
6.70, 2, red, Entry
6.73, 2, red, Exit
6.73, 1, red, Entry
6.90, 1, red, Exit
6.90, 2, red, Entry
6.97, 2, red, Exit
6.97, 1, red, Entry
7.07, 1, red, Exit
7.07, 4, red, Entry
7.10, 4, red, Exit
7.10, 1, red, Entry
7.27, 1, red, Exit
7.27, 2, red, Entry
7.30, 2, red, Exit
7.30, 1, red, Entry
7.57, 4, blue, Exit
7.57, 2, blue, Entry
7.60, 2, blue, Exit
7.60, 4, blue, Entry
7.80, 4, blue, Exit
7.80, 2, blue, Entry
7.83, 2, blue, Exit
7.83, 4, blue, Entry
7.87, 4, blue, Exit
7.87, 2, blue, Entry
7.90, 2, blue, Exit
7.90, 4, blue, Entry
7.97, 1, red, Exit
7.97, 4, red, Entry
8.00, 4, red, Exit
8.00, 1, red, Entry
8.07, 1, red, Exit
8.07, 2, red, Entry
8.13, 2, red, Exit
8.13, 1, red, Entry
8.17, 1, red, Exit
8.17, 2, red, Entry
8.20, 2, red, Exit
8.20, 1, red, Entry
8.27, 1, red, Exit
8.27, 3, red, Entry
8.33, 3, red, Exit
8.33, 2, red, Entry
8.37, 2, red, Exit
8.37, 1, red, Entry
8.40, 1, red, Exit
8.40, 3, red, Entry
8.47, 3, red, Exit
8.47, 2, red, Entry
8.53, 2, red, Exit
8.53, 1, red, Entry
8.57, 1, red, Exit
8.57, 2, red, Entry
8.60, 2, red, Exit
8.60, 1, red, Entry
8.63, 1, red, Exit
8.63, 2, red, Entry
8.77, 2, red, Exit
8.77, 1, red, Entry
8.80, 1, red, Exit
8.80, 2, red, Entry
8.83, 2, red, Exit
8.83, 1, red, Entry
8.87, 1, red, Exit
8.87, 2, red, Entry
8.90, 2, red, Exit
8.90, 1, red, Entry
8.93, 1, red, Exit
8.93, 2, red, Entry
9.10, 2, red, Exit
9.10, 1, red, Entry
9.17, 1, red, Exit
9.17, 4, red, Entry
9.17, 4, blue, Exit
9.17, 2, blue, Entry
9.20, 4, red, Exit
9.20, 2, red, Entry
9.23, 2, blue, Exit
9.23, 4, blue, Entry
9.33, 2, red, Exit
9.33, 1, red, Entry
10.03, 4, blue, Exit
10.03, 2, blue, Entry
10.10, 2, blue, Exit
10.10, 4, blue, Entry
10.27, 4, blue, Exit
10.27, 2, blue, Entry
10.30, 2, blue, Exit
10.30, 4, blue, Entry
10.73, 1, red, Exit
10.73, 3, red, Entry
10.77, 3, red, Exit
10.77, 1, red, Entry
10.93, 4, blue, Exit
10.93, 2, blue, Entry
10.97, 1, red, Exit
10.97, 3, red, Entry
11.00, 2, blue, Exit
11.00, 4, blue, Entry
11.03, 3, red, Exit
11.03, 1, red, Entry
11.03, 4, blue, Exit
11.03, 2, blue, Entry
11.07, 1, red, Exit
11.07, 4, red, Entry
11.13, 4, red, Exit
11.13, 1, red, Entry
11.13, 2, blue, Exit
11.13, 4, blue, Entry
11.17, 1, red, Exit
11.17, 4, red, Entry
11.20, 4, red, Exit
11.20, 1, red, Entry
11.20, 4, blue, Exit
11.20, 2, blue, Entry
11.23, 1, red, Exit
11.23, 3, red, Entry
11.27, 3, red, Exit
11.27, 1, red, Entry
11.30, 2, blue, Exit
11.30, 4, blue, Entry
11.33, 4, blue, Exit
11.33, 2, blue, Entry
11.37, 2, blue, Exit
11.37, 4, blue, Entry
11.40, 4, blue, Exit
11.40, 2, blue, Entry
11.43, 2, blue, Exit
11.43, 4, blue, Entry
11.67, 4, blue, Exit
11.67, 2, blue, Entry
11.87, 1, red, Exit
11.87, 3, red, Entry
11.90, 3, red, Exit
11.90, 1, red, Entry
11.90, 2, blue, Exit
11.90, 4, blue, Entry
11.97, 1, red, Exit
11.97, 4, red, Entry
11.97, 4, blue, Exit
11.97, 2, blue, Entry
12.00, 2, blue, Exit
12.00, 4, blue, Entry
12.20, 4, blue, Exit
12.20, 2, blue, Entry
12.37, 2, blue, Exit
12.37, 4, blue, Entry
12.53, 4, blue, Exit
12.53, 2, blue, Entry
12.57, 2, blue, Exit
12.57, 4, blue, Entry
12.70, 4, blue, Exit
12.70, 2, blue, Entry
12.83, 2, blue, Exit
12.83, 4, blue, Entry
12.97, 4, blue, Exit
12.97, 2, blue, Entry
13.10, 2, blue, Exit
13.10, 4, blue, Entry
13.17, 4, blue, Exit
13.17, 2, blue, Entry
13.27, 2, blue, Exit
13.27, 4, blue, Entry
13.30, 4, blue, Exit
13.30, 2, blue, Entry
13.33, 2, blue, Exit
13.33, 4, blue, Entry
13.70, 4, blue, Exit
13.70, 2, blue, Entry
13.83, 2, blue, Exit
13.83, 4, blue, Entry
14.00, 4, blue, Exit
14.00, 2, blue, Entry
14.20, 2, blue, Exit
